0,1,p.le Abbiategrasso,"[45.432300567627, 9.18218994140625]"
1,3,viale Liguria,"[45.4441986083984, 9.16944026947021]"
2,4,viale Marche,"[45.4962997436523, 9.19083976745605]"
3,5,Parco Lambro,"[45.4995994567871, 9.24730014801025]"
4,7,Verziere,"[45.4635009765625, 9.19534015655518]"
5,8,p.le Zavattari,"[45.4761009216309, 9.141770362854]"
6,9,via Juvara,"[45.4734992980957, 9.22045040130615]"
7,2,via Pascal *,"[45.4740982055664, 9.23478031158447]"
8,6,via Senato *,"[45.4705009460449, 9.19791984558105]"
