id_amat,valore,normv,name,coords,lt,lg
2,12.0,0.15,via Pascal *,"[45.4740982055664, 9.23478031158447]",45.4740982055664,9.23478031158447
3,2.2,0.28125,viale Liguria,"[45.4441986083984, 9.16944026947021]",45.4441986083984,9.16944026947021
4,8.5,0.21874999999999997,viale Marche,"[45.4962997436523, 9.19083976745605]",45.4962997436523,9.19083976745605
6,14.0,0.2,via Senato *,"[45.4705009460449, 9.19791984558105]",45.4705009460449,9.19791984558105
7,52.0,0.26139667705088265,Verziere,"[45.4635009765625, 9.19534015655518]",45.4635009765625,9.19534015655518
