id,type,address,price,coords,contamination,distanceToDangerZone,distanceToMedianJobLocation,Zone,GreenConc,lt,lg,priceLogScaled,totalScore
link_ad_83897872,Monolocale,"piazzale Biancamano 2, Moscova, Milano",1000,"[45.47823899999999, 9.1819484]",0.14279510019696318,3.233712947617959,1.1318573066562714,1.0,0.11462977145811785,45.47823899999999,9.1819484,0.23137821315975948,9.211560495315414
link_ad_83535941,Appartamento,"corso Magenta, San Vittore, Milano",5000,"[45.4657096, 9.1717594]",0.11350793126621284,1.8184434063462824,1.4907351367505126,1.0,0.11462977145811785,45.4657096,9.1717594,0.768621786840241,-2.1989583852628303
link_ad_79920811,Bilocale,"corso Indipendenza 18, Indipendenza, Milano",1350,"[45.467451, 9.214442499999999]",0.26930291432654485,3.1288745238755085,1.9246703388190125,4.0,0.1018567536992841,45.467451,9.214442499999999,0.3315555871860134,3.526012186216109
link_ad_83588673,Appartamento,"via Archimede, Plebisciti - Susa, Milano",3200,"[45.4681442, 9.2225773]",0.26729051748407073,3.1135582882816317,2.548147942188439,3.0,0.1217181679550246,45.4681442,9.2225773,0.6196474921183146,-0.9990474777708416
link_ad_81088197,Trilocale,"via Sansovino 3, Città Studi, Milano",1550,"[45.4793396, 9.217790599999999]",0.11893755456549115,3.057725342418409,2.4157848457582007,3.0,0.1217181679550246,45.4793396,9.217790599999999,0.37767130309974606,1.3352490347499804
link_ad_83000949,Bilocale,"via Carlo Imbonati 64, Dergano, Milano",1300,"[45.50395839999999, 9.182326399999999]",0.3676167407538742,1.781589464162964,3.849130398405475,9.0,0.17413316666666664,45.50395839999999,9.182326399999999,0.3189575562084075,-12.89991032269063
link_ad_83770413,Trilocale,"via Fortezza 44, Villa San Giovanni, Milano",1300,"[45.5222965, 9.224046]",0.14941210226970725,2.4605260092519488,6.416743890470153,2.0,0.08483287837837838,45.5222965,9.224046,0.3189575562084075,-21.6987733065897
link_ad_73917072,Bilocale,"corso Giuseppe Garibaldi 95, Moscova, Milano",2500,"[45.4772289, 9.1842828]",0.14556057992740534,3.158499115867489,0.9418302588033388,1.0,0.11462977145811785,45.4772289,9.1842828,0.5372435736804815,8.242472374571905
link_ad_83692733,Quadrilocale,"via Archimede, Indipendenza, Milano",3200,"[45.4655042, 9.2160423]",0.3041586051986087,2.8892450351529244,2.086636813554803,4.0,0.1018567536992841,45.4655042,9.2160423,0.6196474921183146,-0.09670561009758849
link_ad_83864962,Villa,"unifamiliare via Bracciano 11, Zara, Milano",3700,"[45.4904359, 9.1929637]",0.1683125677809585,3.1450203624700293,2.310673201240925,2.0,0.08483287837837838,45.4904359,9.1929637,0.6681104375978384,0.4137851711434313
link_ad_82947181,Bilocale,"ottimo stato, 11, Duomo, Milano",2400,"[45.4643653, 9.1885593]",0.21863713013590313,1.9482747140704335,0.610140833665086,1.0,0.11462977145811785,45.4643653,9.1885593,0.5236168571408806,3.552548322933408
link_ad_82945583,Monolocale,"ottimo stato, nono piano, Duomo, Milano",2000,"[45.4640976, 9.1919265]",0.23823807769804262,2.0767558705292246,0.6477356065603304,1.0,0.11462977145811785,45.4640976,9.1919265,0.4627564263195185,4.213277657047255
link_ad_83770907,Bilocale,"viale Legioni Romane 8, Bande Nere, Milano",1050,"[45.46091029999999, 9.1343716]",-0.23063685579109006,2.0790467661290344,4.44707010876226,6.0,0.11628345240700223,45.46091029999999,9.1343716,0.2476647700727872,-11.343839022539605
link_ad_82869489,Bilocale,"corso Magenta, San Vittore, Milano",1500,"[45.4657096, 9.1717594]",0.11350793126621284,1.8184434063462824,1.4907351367505126,1.0,0.11462977145811785,45.4657096,9.1717594,0.36672579134208494,-0.18947840777205016
link_ad_81424435,Bilocale,"via Pinamonte da Vimercate, Moscova, Milano",1250,"[45.4782881, 9.1823255]",0.14336706063477322,3.2439762312166653,1.1204692305507857,1.0,0.11462977145811785,45.4782881,9.1823255,0.30586536052072244,8.944521754842508
link_ad_69203642,Bilocale,"via Moncalvo 46, Gambara, Milano",1030,"[45.4649998, 9.1429548]",-0.11558718999731354,2.0791625523166526,3.7053241148841267,7.0,0.16894003541799618,45.4649998,9.1429548,0.2412451837507188,-7.914397604514415
link_ad_82808007,Bilocale,"via della Moscova 46, Moscova, Milano",1000,"[45.4777379, 9.1863706]",0.1481276088161394,3.253280595538416,0.930622499282244,1.0,0.11462977145811785,45.4777379,9.1863706,0.23137821315975948,10.288910228691956
link_ad_81740324,Bilocale,"via Fratelli Gabba, Brera, Milano",4500,"[45.4705638, 9.1900589]",0.17853413085686043,2.6076249348709433,0.08947401900138466,1.0,0.11462977145811785,45.4705638,9.1900589,0.7334515826841694,8.603974868933232
link_ad_82509662,Trilocale,"via Cardinale Giovanni Cagliero, Maggiolina, Milano",1200,"[45.4964591, 9.2031314]",0.14755563615472056,2.8480826082097956,3.140713863464178,2.0,0.08483287837837838,45.4964591,9.2031314,0.29223864398112154,-3.23796328505923
link_ad_76915362,Trilocale,"viale teodorico 22, Portello - Parco Vittoria, Milano",1400,"[45.486652, 9.1504]",0.1663238464097958,2.26884797599175,3.6127214522873374,8.0,0.14965863237774032,45.486652,9.1504,0.3436954050502212,-8.521170476889319
link_ad_82536194,Appartamento,"piazzale bande nere 9, Bande Nere, Milano",2850,"[45.4617107, 9.135725899999999]",-0.21020704132388346,2.0426087109080604,4.324812681532752,6.0,0.11628345240700223,45.4617107,9.135725899999999,0.5809818821945996,-12.683476795442026
